EXPIRY DATE,ENROLLMENT BASIS,ENROLLMENT GROUP,Region,storeId,enrollmentNumber,reportedLoss,timeIncident,enrollmentEventType,activityType,methodOffence,reportedBy,build,bodyMarkings,gender,heightType,narrativeDesc,action,ENROLLMENT PHOTO
2026-01-01T15:24,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,coster1.png
,,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,coster1.png
,Written Consent,,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,coster1.png
,Written Consent,fraude,sceedge13-vm,,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,coster1.png
,Written Consent,fraude,sceedge13-vm,sb0,,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,coster1.png
,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,coster1
,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,coster1.mp4
,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,,coster1.png
,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,
,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,wheel1.png
,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,abc.png
,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,low_quality1.png
,Written Consent,fraude,sceedge13-vm,sb0,entest1,3,2026-01-26T14:39,Arson,ORC,,guard,,,female,,person from la came to dallas to meet crew to work,call cops,large1.png
